Index,Food_name,Cuisine_id,Calories,Fat,Carbohydrates,Protein,Sodium,Meal_type_id,Veg_non_veg,Expected Price
743,Soft Drinks,Drinks Only,41,0,11,0,7,Junk food,V,40
744,Beer,Drinks Only,43,0,3,0,4,Wheat based,NV,200
745,Brown Sugar Milk Tea,Bubble Tea,67,1,15,0,40,Milk based,V,100
746,Taro Milk Tea,Bubble Tea,75,1,16,0.5,30,Milk based,V,120
747,Honeydew Milk Tea,Bubble Tea,63,1,14,0,30,Milk based,V,110
748,Thai Tea,Bubble Tea,90,2,17,1,15,Milk based,V,80
749,Matcha Milk Tea,Bubble Tea,80,1,18,0.5,40,Milk based,V,130
750,Mango Green Tea,Bubble Tea,30,0,7,0,1,Fruits,V,90
751,Strawberry Black Tea,Bubble Tea,22,0,6,0,1,Fruits,V,80
752,Peach Oolong Tea,Bubble Tea,2,0,0,0,0,Fruits,V,100
753,Jasmine Green Tea,Bubble Tea,2,0,0,0,0,Fruits,V,80
754,Assam Black Tea,Bubble Tea,2,0,0,0,0,Fruits,V,60
755,Blueberry Green Tea,Bubble Tea,2,0,0,0,0,Fruits,V,110
756,Pina Colada Bubble Tea,Bubble Tea,32,0,8,0,1,Fruits,V,140
757,Passion Fruit Bubble Tea,Bubble Tea,30,0,8,0,1,Fruits,V,120
758,Green Apple Bubble Tea,Bubble Tea,20,0,5,0,1,Fruits,V,100
759,Lychee Bubble Tea,Bubble Tea,38,0,10,0,1,Fruits,V,90
760,Haleem,Hyderabadi,304,15.6,24.6,13.5,46,Meat based,NV,100
761,Biryani,Hyderabadi,225,5,42,5,5,Rice based,NV,200
762,Kheema,Hyderabadi,280,22,1,19,220,Meat based,NV,150
763,Nihari,Hyderabadi,156,9.2,0,18.8,256,Meat based,NV,120
764,Mirch ka Salan,Hyderabadi,163,17,7,1.4,134,Salad based,V,100
765,Khubani ka Meetha,Hyderabadi,201,0.4,51.8,1.4,1,Milk based,V,80
766,Sheer Korma,Hyderabadi,177,8.7,22.2,2.7,75,Milk based,V,90
767,Lukhmi,Hyderabadi,312,25,22,5,120,Meat based,NV,80
768,Pathar ka Gosht,Hyderabadi,224,15.3,3.5,17.5,54,Meat based,NV,180
769,Double ka Meetha,Hyderabadi,266,5.3,47.8,5.6,1,Milk based,V,120
770,Paye,Hyderabadi,200,17,2,11,75,Meat based,NV,150
771,Baghara Baingan,Hyderabadi,154,13,6,2.7,200,Salad based,V,90
772,Kacche Gosht ki Biryani,Hyderabadi,260,10,39,7,58,Rice based,NV,250
773,Dum ka Murgh,Hyderabadi,167,11,6.4,11,55,Meat based,NV,160
774,Aloo Gosht,Hyderabadi,134,7,12,5,185,Meat based,NV,130
775,Cappuccino,Coffee and Tea,60,1.1,10.3,2.1,50,Milk based,V,100
776,Espresso,Coffee and Tea,2,0.1,0.1,0.2,8,Milk based,V,80
777,Latte,Coffee and Tea,71,1.7,10.6,3.4,70,Milk based,V,120
778,Black Tea,Coffee and Tea,1,0,0.2,0,2,Milk based,V,20
779,Ginger Tea,Coffee and Tea,4,0.1,1,0,2,Milk based,V,30
780,Masala Chai,Coffee and Tea,49,1.1,8.8,1.7,25,Milk based,V,80
781,Iced Tea,Coffee and Tea,31,0,7.5,0.5,5,Milk based,V,70
782,Americano,Coffee and Tea,2,0.1,0.3,0.3,3,Milk based,V,80
783,Green Tea,Coffee and Tea,1,0,0.2,0.1,2,Milk based,V,40
784,Mocha,Coffee and Tea,92,3.6,14.6,2.6,70,Milk based,V,150
785,Kabab Koobideh,Iranian,250,17.8,2.5,17.1,70,Meat based,NV,200
786,Gheymeh Bademjan,Iranian,115,3.5,17.5,3.5,20,Meat based,V,180
787,Zereshk Polo,Iranian,175,3.1,34.5,3.5,20,Rice based,V,150
788,Fesenjan,Iranian,220,15.5,13.5,7.2,45,Meat based,NV,250
789,Baghali Polo,Iranian,160,6.4,22.7,4.2,50,Rice based,V,120
790,Mast-o-Khiar,Iranian,58,4.4,4.4,0.8,68,Salad based,V,80
791,Kashk-e-Bademjan,Iranian,150,11.6,7.6,4.6,38,Meat based,V,120
792,Shirin Polow,Iranian,182,4.4,33.3,3.3,11,Rice based,V,200
793,Zeytoon Parvardeh,Iranian,168,17.5,5.5,1.5,5,Salad based,V,100
794,Abgoosht,Iranian,135,6.1,6.8,12.9,108,Meat based,NV,220
795,Shukto,Bengali,60,2,10,2,15,Salad based,V,80
796,Bhapa Ilish,Bengali,310,24,6,18,450,Meat based,NV,600
797,Cholar Dal,Bengali,120,6,15,6,10,Meat based,V,100
798,Kosha Mangsho,Bengali,270,16,7,26,320,Meat based,NV,400
799,Shorshe Ilish,Bengali,290,25,2,17,440,Meat based,NV,500
800,Alu Posto,Bengali,200,12,20,6,20,Salad based,V,80
801,Doi Maach,Bengali,210,14,5,18,300,Meat based,NV,250
802,Chingri Malaikari,Bengali,210,12,9,18,370,Meat based,NV,550
803,Kolar Bora,Bengali,220,14,18,4,10,Salad based,V,50
804,Chanar Dalna,Bengali,160,10,12,8,15,Salad based,V,120
805,Biltong,South African,200,8,0,34,150,Meat based,NV,800
806,Boerewors,South African,250,16,3,20,700,Meat based,NV,500
807,Bunny Chow,South African,170,10,12,8,400,Meat based,NV,200
808,Cape Malay Curry,South African,180,10,14,7,500,Meat based,NV,350
809,Chakalaka,South African,50,1,10,2,200,Salad based,V,100
810,Chutney,South African,100,0,26,0,10,Salad based,V,150
811,Melktert,South African,300,16,30,5,130,Salad based,V,100
812,Pap en Wors,South African,180,6,27,4,10,Meat based,NV,150
813,Peri Peri Chicken,South African,200,10,4,24,500,Meat based,NV,300
814,Sosaties,South African,180,6,10,20,320,Meat based,NV,400
815,Fish Curry,Goan,152,7.8,8.9,13.9,1100,Sea food based,NV,350
816,Chicken Cafreal,Goan,190,8.2,9.3,20.3,1190,Meat based,NV,450
817,Vindaloo,Goan,157,8.9,9.5,10.7,1180,Meat based,NV,400
818,Sorpotel,Goan,206,16.2,6.7,10.8,1390,Meat based,NV,500
819,Xacuti,Goan,165,9.4,7.4,11.8,1120,Meat based,NV,450
820,Goan Prawn Curry,Goan,132,7.4,8.4,7.4,1070,Sea food based,NV,400
821,Beef Roast,Goan,265,18.6,5.6,16.6,1210,Meat based,NV,550
822,Chicken Xacuti,Goan,186,9.6,10.2,17.6,1350,Meat based,NV,450
823,Goan Sausages,Goan,322,26.1,7.3,15.8,1020,Meat based,NV,600
824,Chicken Vindaloo,Goan,169,8.9,9.9,14.9,1220,Meat based,NV,400
825,Ropa Vieja,Cuban,138,4.1,5.8,18.9,740,Meat based,NV,500
826,Lechón Asado,Cuban,271,16.8,0,28.2,720,Meat based,NV,700
827,Arroz con Pollo,Cuban,128,1.9,19.6,8.6,330,Rice based,NV,350
828,Pollo Asado,Cuban,176,6.2,2.3,27.3,690,Meat based,NV,450
829,Tostones,Cuban,200,10,30,1.4,5,Junk food,V,150
830,Chicharrones,Cuban,544,36.7,0,50,1667,Meat based,NV,300
831,Pan con Lechón,Cuban,320,15,20,22.5,800,Meat based,NV,500
832,Vaca Frita,Cuban,205,8.6,0,29,893,Meat based,NV,550
833,Chicken Nuggets,Finger Food,287,17.7,14.8,15.8,555,Junk food,NV,150
834,Mozzarella Sticks,Finger Food,322,21.1,18.5,14.5,640,Junk food,V,180
835,Onion Rings,Finger Food,382,14.6,54.6,5.6,901,Junk food,V,120
836,Jalapeno Poppers,Finger Food,264,18.9,17.9,6.3,647,Junk food,V,200
837,Mini Pizzas,Finger Food,267,11.7,31.5,9.8,465,Junk food,V,250
838,Loaded Fries,Finger Food,245,13.6,26.9,4.8,420,Junk food,V,200
839,Mini Burgers,Finger Food,250,13.2,23.3,9.9,441,Junk food,NV,300
840,Chips and Dips,Finger Food,250,14,25,3,700,Junk food,V,100
841,Samosa,Finger Food,308,19,30,5,900,Junk food,V,50
842,Mini Tacos,Finger Food,242,12.4,23.4,8.4,424,Junk food,NV,300
843,Beef Noodle Soup,Taiwanese,130,1,20,9,530,Rice based,NV,350
844,Bubble Tea,Taiwanese,52,0,12,0,15,Milk based,V,150
845,Gua Bao,Taiwanese,300,16,29,11,515,Meat based,NV,300
846,Stinky Tofu,Taiwanese,200,10,17,14,384,Meat based,V,200
847,Oyster Vermicelli,Taiwanese,115,1.1,22,4.4,340,Sea food based,NV,200
848,Scallion Pancake,Taiwanese,320,11,51,7,576,Wheat based,V,150
849,Pineapple Cake,Taiwanese,330,8,59,3,160,Wheat based,V,250
850,Mochi,Taiwanese,323,0.6,80,0.5,6,Wheat based,V,300
851,Fried Chicken Fillet,Taiwanese,287,16.7,9.9,21.8,708,Meat based,NV,350
852,Shaved Ice,Taiwanese,90,0,22,0,5,Fruits,V,200
853,Feijão Tropeiro,Mineira,307,13.8,39.3,10.3,253,Meat based,NV,150
854,Pão de Queijo,Mineira,287,16.3,23.7,10.3,521,Salad based,V,50
855,Doce de Leite,Mineira,313,6.9,57.3,6.1,132,Milk based,V,200
856,Frango com Quiabo,Mineira,153,6.9,6.5,16.2,22,Meat based,NV,300
857,Tutu de Feijão,Mineira,186,1.9,33.4,11.4,60,Meat based,V,180
858,Leitão à pururuca,Mineira,260,17.4,0,22.4,416,Meat based,NV,450
859,Barreado,Mineira,102,1.2,2.2,20.2,38,Meat based,NV,350
860,Arroz Carreteiro,Mineira,145,5.8,17.6,5.1,178,Rice based,NV,120
861,Canjiquinha,Mineira,162,6.5,27.2,2.7,6,Meat based,V,220
862,Caldo Verde,Mineira,44,1.6,3.9,3.2,84,Salad based,V,80
863,Tagine,Moroccan,143,7.1,11.6,7.6,207,Meat based,NV,400
864,Couscous,Moroccan,112,0.6,23.2,3.8,150,Wheat based,V,200
865,Kefta Tagine,Moroccan,127,8.2,4.7,9.4,213,Meat based,NV,350
866,Harira Soup,Moroccan,71,0.4,13.7,3.4,124,Salad based,V,100
867,Msemmen,Moroccan,297,12.5,39.5,7.5,547,Wheat based,V,60
868,Briouat,Moroccan,225,11.2,25.7,6.9,431,Meat based,NV,150
869,Chermoula Fish,Moroccan,152,6.7,1.3,21.3,357,Sea food based,NV,450
870,Tanjia,Moroccan,218,10.5,10.5,22.2,214,Meat based,NV,500
871,Moroccan Tea,Moroccan,30,0.6,7.6,0.6,7,Milk based,V,50
872,Classic Burger,Burger,250,11,22,14,400,Junk food,NV,200
873,Cheese Burger,Burger,300,18,23,15,500,Junk food,NV,250
874,Veggie Burger,Burger,200,10,20,8,250,Junk food,V,150
875,Chicken Burger,Burger,270,12,25,16,400,Junk food,NV,220
876,Fish Burger,Burger,240,11,21,12,350,Sea food based,NV,250
877,Buffalo Burger,Burger,350,20,28,15,550,Meat based,NV,400
878,Black Bean Burger,Burger,180,5,32,7,200,Salad based,V,180
879,BBQ Burger,Burger,280,15,25,14,450,Junk food,NV,300
880,Turkey Burger,Burger,220,10,20,12,350,Meat based,NV,250
881,Double Patty Burger,Burger,450,25,30,25,800,Junk food,NV,450
882,Galouti Kebab,Lucknowi,260,20,4,14,350,Meat based,NV,300
883,Tunday Kebab,Lucknowi,300,22,3,16,450,Meat based,NV,350
884,Shami Kebab,Lucknowi,240,20,4,12,250,Meat based,NV,250
885,Seekh Kebab,Lucknowi,200,16,3,12,300,Meat based,NV,200
886,Kakori Kebab,Lucknowi,270,20,3,14,380,Meat based,NV,280
887,Chicken Korma,Lucknowi,175,8,5,20,300,Meat based,NV,220
888,Mutton Biryani,Lucknowi,320,18,32,10,600,Rice based,NV,400
889,Sheermal,Lucknowi,260,10,40,6,150,Wheat based,V,50
890,Gajar ka Halwa,Lucknowi,140,5,22,2,100,Milk based,V,150
891,Phirni,Lucknowi,110,3,17,3,50,Milk based,V,120
892,Feijoada,Brazilian,270,14.8,18.1,16.4,100,Meat based,NV,350
893,Churrasco,Brazilian,233,11.4,0,32.4,55,Meat based,NV,500
894,Pão de queijo,Brazilian,449,23.8,42.6,13.2,457,Wheat based,V,80
895,Coxinha,Brazilian,265,16,21.8,7.8,251,Meat based,NV,60
896,Brigadeiro,Brazilian,375,19.3,48.4,2.9,54,Milk based,V,30
897,Vatapá,Brazilian,132,6.8,11.1,6.5,325,Sea food based,NV,200
898,Bolo de Rolo,Brazilian,288,5.5,55.5,5.5,12,Wheat based,V,200
899,Pudim de leite,Brazilian,152,3.8,22.7,6.9,83,Milk based,V,150
900,Esfiha,Brazilian,240,11,23.5,11.5,419,Wheat based,NV,40
901,Moqueca,Brazilian,150,7.6,8.6,12.4,219,Sea food based,NV,300
902,Hamburger,New American,250,12,26,13,500,Meat based,NV,150
903,Hot dog,New American,151,13.4,2.4,6.2,620,Meat based,NV,100
904,Fried chicken,New American,239,14.4,9.4,17.2,336,Meat based,NV,250
905,Mac and Cheese,New American,198,9.9,18.9,7.8,452,Wheat based,V,120
906,Grilled Cheese Sandwich,New American,291,17,19,15,697,Wheat based,V,100
907,Clam Chowder,New American,88,2.8,7.7,7.9,460,Sea food based,NV,300
908,Cobb Salad,New American,158,10.3,7.2,9.3,400,Salad based,V,200
909,Buffalo Wings,New American,288,18.8,10.7,17.1,884,Meat based,NV,300
910,Reuben Sandwich,New American,334,19.4,27.4,15.4,1802,Wheat based,NV,180
911,BBQ Ribs,New American,250,15.8,6.9,18.3,720,Meat based,NV,400
912,Miso Soup,Japanese,36,1.4,4.6,2.2,602,Salad based,V,50
913,Edamame,Japanese,121,5.2,10.3,10.1,6,Fruits,V,100
914,Yakitori,Japanese,200,10,0,27,620,Meat based,NV,200
915,Teriyaki Chicken,Japanese,173,3.6,12,24,300,Meat based,NV,300
916,Soba Noodles,Japanese,99,0.5,20.6,4.6,7,Wheat based,V,150
917,Miso Salmon,Japanese,165,8.8,0,19.3,600,Sea food based,NV,350
918,Gyoza,Japanese,200,10,19,6,600,Meat based,NV,200
919,Shrimp Tempura,Japanese,289,16,23,15,789,Sea food based,NV,400
920,Chicken Teriyaki Donburi,Japanese,432,9,65,23,1032,Rice based,NV,400
921,Tuna Tataki,Japanese,137,5.5,0.5,20.5,562,Sea food based,NV,500
922,Okonomiyaki,Japanese,166,6.7,16,8.6,399,Wheat based,NV,250
923,Chirashi Sushi,Japanese,117,0.8,24.8,2.6,105,Rice based,NV,500
924,Salmon Sashimi,Japanese,142,5,0,21,57,Sea food based,NV,600
925,Maguro Sashimi,Japanese,136,4,0,24,42,Sea food based,NV,600
926,Nasu Dengaku,Japanese,114,7.4,9.4,2.4,238,Salad based,V,150
927,Kitsune Udon,Japanese,105,0.6,22.6,3.1,200,Wheat based,V,250
928,Unagi Nigiri,Japanese,274,7.6,32.6,15,491,Sea food based,NV,700
929,Salmon Nigiri,Japanese,125,2,22,5,29,Sea food based,NV,500
930,Tamago Nigiri,Japanese,163,5.7,26,3.9,190,Milk based,V,250
931,Tempura Udon,Japanese,162,5.4,19.4,7.4,691,Wheat based,NV,300
932,Katsu Don,Japanese,320,13,35,18,700,Meat based,NV,400
933,Korokke,Japanese,218,10.6,27.6,4.4,329,Wheat based,V,150
934,Oyakodon,Japanese,197,7.6,21,12.7,543,Rice based,NV,300
935,Butter Chicken,Modern Indian,262,18.9,12.2,12.4,489,Meat based,NV,200
936,Paneer Makhani,Modern Indian,248,14.3,14.3,11.4,544,Vegetarian based,V,150
937,Chicken Tikka Masala,Modern Indian,221,14.1,11.7,11.6,490,Meat based,NV,180
938,Palak Paneer,Modern Indian,164,11.1,6.8,8.8,408,Vegetarian based,V,120
939,Tandoori Chicken,Modern Indian,196,6.1,1.8,31.5,411,Meat based,NV,250
940,Chana Masala,Modern Indian,130,5.5,14.5,5.5,350,Vegetarian based,V,100
941,Dal Makhani,Modern Indian,210,13.3,12.3,8.8,360,Vegetarian based,V,120
942,Rogan Josh,Modern Indian,201,14.4,4.1,12.4,487,Meat based,NV,190
943,Malai Kofta,Modern Indian,190,13.8,8.8,6.2,426,Milk based,V,140
944,Chicken Biryani,Modern Indian,193,5.5,26.7,9.6,482,Rice based,NV,220
945,Chicken Korma,Modern Indian,207,12.4,12.1,12.4,485,Meat based,NV,190
946,Keema Matar,Modern Indian,210,12.4,11.7,11.6,490,Meat based,NV,200
947,Prawn Curry,Modern Indian,180,11.1,7.6,10.9,498,Sea food based,NV,280
948,Aloo Gobi,Modern Indian,98,5.5,11.7,2.2,344,Salad based,V,80
949,Chicken Saagwala,Modern Indian,189,12.2,7.2,11.9,481,Meat based,NV,180
950,Pindi Chole,Modern Indian,120,5.5,14.5,5.5,350,Vegetarian based,V,100
951,Butter Naan,Modern Indian,326,11.3,48.3,9.9,666,Wheat based,V,40
952,Kadhai Paneer,Modern Indian,207,12.4,12.1,12.4,485,Vegetarian based,V,150
953,Tandoori Roti,Modern Indian,274,3.3,49.7,9.6,611,Wheat based,V,20
954,Mutton Curry,Modern Indian,221,14.1,11.7,11.6,490,Meat based,NV,280
955,Bhindi Masala,Modern Indian,125,5.5,13.7,2.2,365,Salad based,V,90
956,Chicken 65,Modern Indian,200,14.1,11.7,11.6,490,Meat based,NV,200
957,Irish Stew,Irish,132,4.1,14.4,10.9,389,Meat based,NV,350
958,Colcannon,Irish,109,4.1,14.4,10.9,389,Wheat based,V,200
959,Coddle,Irish,155,8.3,9.6,9.7,429,Meat based,NV,250
960,Bacon and Cabbage,Irish,85,2.8,5.5,9.7,200,Meat based,NV,300
961,Boxty,Irish,114,2.8,19.2,2.6,386,Wheat based,V,150
962,Guinness Beef Stew,Irish,142,4.4,13.7,12.1,446,Meat based,NV,400
963,Irish Soda Bread,Irish,243,3.3,46.1,6.9,522,Wheat based,V,100
964,Champ,Irish,149,5.8,20.5,5.5,422,Wheat based,V,150
965,Black Pudding,Irish,331,25.8,12.8,15.2,800,Meat based,NV,200
966,Apple Tart,Irish,256,12.8,35.2,2.6,90,Fruits,V,250
967,Hummus,Lebanese,166,9,14,8,227,Salad based,V,150
968,Fattoush salad,Lebanese,66,0,14,2,186,Salad based,V,100
969,Tabbouleh,Lebanese,120,3,20,3,130,Salad based,V,120
970,Falafel,Lebanese,333,14,31,23,559,Meat based,V,200
971,Manakeesh,Lebanese,265,6,46,7,357,Wheat based,V,80
972,Shawarma,Lebanese,238,11,17,19,793,Meat based,NV,200
973,Shish Taouk,Lebanese,143,3,1,27,107,Meat based,NV,250
974,Moussaka,Lebanese,109,2,13,7,258,Vegetarian based,V,180
975,Labneh,Lebanese,116,10,3,5,50,Milk based,V,120
976,Kafta,Lebanese,198,12,2,23,43,Meat based,NV,280
977,Pizza,European,266,9,37,10,496,Wheat based,NV,400
978,Paella,European,159,4,29,4,381,Rice based,NV,450
979,Spaghetti Bolognese,European,136,4,19,6,323,Wheat based,NV,350
980,Moussaka,European,109,2,13,7,258,Vegetarian based,V,350
981,Beef Stroganoff,European,146,7,5,17,86,Meat based,NV,600
982,Quiche,European,262,18,17,10,437,Wheat based,V,250
983,Shepherd's Pie,European,114,4,13,6,256,Meat based,NV,400
984,Croissant,European,406,25,40,6,508,Wheat based,V,70
985,Bruschetta,European,115,2,17,4,258,Wheat based,V,150
986,Goulash,European,114,5,5,13,338,Meat based,NV,350
987,Hummus with Pita Bread,Mediterranean,264,17.2,21.5,5.9,220,Wheat based,V,150
988,Greek Salad,Mediterranean,118,9.4,4.4,4.7,254,Salad based,V,200
989,Shakshuka,Mediterranean,123,9.6,5.7,5.7,282,Egg based,V,250
990,Moussaka,Mediterranean,200,12.2,10.8,12.1,236,Meat based,NV,350
991,Baba Ghanoush,Mediterranean,157,15.2,6.2,2.6,100,Salad based,V,120
992,Falafel Sandwich,Mediterranean,296,15.2,32.9,9.8,515,Wheat based,V,200
993,Kofta Kebab,Mediterranean,217,17.1,1.8,13.6,620,Meat based,NV,300
994,Spanakopita,Mediterranean,247,18.7,18.8,6.2,551,Wheat based,V,150
995,Tabouleh Salad,Mediterranean,69,0.6,14.3,3.0,18,Salad based,V,100
996,Baklava,Mediterranean,389,22.3,45.5,5.5,161,Wheat based,V,250
997,Butter Chicken,Indian,320,18.2,7.2,24.7,790,Meat based,NV,350
998,Rogan Josh,Indian,260,18.2,6.2,17.9,480,Meat based,NV,300
999,Chana Masala,Indian,138,5.6,19.8,5.6,580,Wheat based,V,200
1000,Paneer Tikka Masala,Indian,180,12.7,9.9,7.4,440,Milk based,V,250
1001,Palak Paneer,Indian,120,5.6,6.7,9.6,740,Milk based,V,200
1002,Aloo Gobi,Indian,95,5.6,12.4,3.1,370,Wheat based,V,150
1003,Tandoori Chicken,Indian,165,4.9,0.6,31.4,50,Meat based,NV,300
1004,Chicken Tikka Masala,Indian,230,16.3,7.9,12.7,560,Meat based,NV,300
1005,Samosa,Indian,240,13.5,22.8,5.5,480,Wheat based,NV,50
1006,Chicken Biryani,Indian,165,3.2,22.3,9.6,580,Rice based,NV,200
1007,Fish Curry,Indian,225,14.5,8.6,17.4,450,Sea food based,NV,350
1008,Dal Makhani,Indian,154,7.8,17.3,5.6,460,Wheat based,V,150
1009,Chicken Korma,Indian,190,12.3,10.2,9.8,670,Meat based,NV,250
1010,Butter Chicken Tacos,Fusion,220,10,22,10,350,Meat based,NV,300
1011,Masala Quesadilla,Fusion,210,8,22,12,400,Wheat based,V,250
1012,Vada Pav Burgers,Fusion,240,10,25,10,450,Wheat based,V,200
1013,Thai Curry Tacos,Fusion,170,7,19,8,300,Sea food based,NV,350
1014,Paneer Tacos,Fusion,190,7,22,9,350,Vegetarian based,V,300
1015,Chicken Shawarma Rolls,Fusion,190,8,19,10,400,Meat based,NV,200
1016,Chicken Tikka Pizza,Fusion,250,11,23,12,400,Wheat based,NV,450
1017,Schezwan Fried Rice Bowl,Fusion,230,7,25,10,400,Rice based,NV,150
1018,Chicken Teriyaki Bowl,Fusion,180,6,20,12,350,Rice based,NV,200
1019,Thai Basil Noodles,Fusion,180,6,25,8,350,Wheat based,NV,150
1020,Sushi Rolls,Fusion,200,6,30,8,450,Sea food based,NV,500
1021,Chicken Tandoori Wraps,Fusion,200,8,20,10,400,Wheat based,NV,250
1022,Peri Peri Fries,Fusion,220,10,28,4,350,Junk food,V,100
1023,Mango Salsa Salad,Fusion,120,3,22,2,100,Salad based,V,150
1024,Cucumber Lemonade,Fusion,50,0,12,0,20,Beverage,V,50
1025,Macha Ghanta,Oriya,130,6,14,6,710,Meat based,NV,250
1026,Chhena Poda,Oriya,345,15,45,7,250,Salad based,V,200
1027,Saga Bhaja,Oriya,59,3,7,2,670,Vegetarian based,V,70
1028,Pakhala,Oriya,18,0,4,0,100,Salad based,V,50
1029,Chingudi Jhola,Oriya,150,6,10,14,950,Sea food based,NV,300
1030,Bhindi Bhaja,Oriya,40,2,5,2,180,Vegetarian based,V,60
1031,Dalma,Oriya,110,4,14,4,100,Vegetarian based,V,80
1032,Rasabali,Oriya,276,12,37,6,50,Milk based,V,150
1033,Alu Potala Rasa,Oriya,80,3,10,3,350,Vegetarian based,V,100
1034,Mutton Chaap,Oriya,190,12,3,18,350,Meat based,NV,400
1035,Chuda Kadamba,Oriya,350,7,75,6,10,Wheat based,V,80
1036,Pakhala Bhata,Oriya,40,1,8,1,50,Salad based,V,50
1037,Pani Puri,Oriya,90,3,14,2,190,Junk food,V,50
1038,Dahi Vada,Oriya,150,6,18,5,350,Salad based,V,100
1039,Sweet Pulao,Oriya,300,12,40,4,650,Rice based,V,150
1040,Shrimp Scampi,Seafood,154,8,4,17,708,Sea food based,NV,450
1041,Grilled Salmon,Seafood,156,5,0,27,59,Sea food based,NV,550
1042,Clam Chowder,Seafood,105,4,12,4,365,Sea food based,NV,300
1043,Crab Cakes,Seafood,196,9,4,25,865,Sea food based,NV,650
1044,Shrimp Cocktail,Seafood,115,1,2,24,1079,Sea food based,NV,500
1045,Scallop Pasta,Seafood,138,3,18,9,314,Sea food based,NV,400
1046,Fish and Chips,Seafood,236,12,18,12,283,Sea food based,NV,350
1047,Lobster Roll,Seafood,212,7,32,12,426,Sea food based,NV,700
1048,Cajun Shrimp,Seafood,108,1,1,23,973,Sea food based,NV,450
1049,Grilled Tuna,Seafood,144,2,0,31,35,Sea food based,NV,650
1050,Clam Bake,Seafood,93,0,4,18,400,Sea food based,NV,350
1051,Oyster Shooters,Seafood,78,3,4,5,110,Sea food based,NV,400
1052,Seafood Paella,Seafood,125,3,21,5,320,Sea food based,NV,800
1053,Crispy Calamari,Seafood,187,10,21,11,750,Sea food based,NV,500
1054,Stuffed Clams,Seafood,107,4,14,4,369,Sea food based,NV,350
1055,Kartoffelpuffer,German,199,9.5,25.8,2.5,380,Wheat based,V,120
1056,Schweinshaxe,German,295,21.6,0.8,24.1,83,Meat based,NV,500
1057,Brezel,German,354,2.5,72.8,10.6,1360,Wheat based,V,60
1058,Rote Grütze,German,131,0.3,33.8,0.3,3,Fruits,V,150
1059,Maultaschen,German,137,4.1,14.6,8.8,333,Wheat based,NV,250
1060,Kartoffelsalat,German,143,4.9,21.4,2.7,300,Salad based,V,100
1061,Sauerbraten,German,284,12.4,11.3,28.3,76,Meat based,NV,450
1062,Bayerische Creme,German,180,14.7,11.2,2.7,60,Milk based,V,200
1063,Kartoffelsuppe,German,49,0.5,8.5,1.5,316,Wheat based,V,80
1064,Berliner,German,330,15.1,43.7,5.5,440,Wheat based,NV,50
1065,Grilled chicken breast,Grill,165,3.6,0.0,31.0,70,Meat based,NV,300
1066,Grilled fish,Grill,118,3.3,0.0,20.5,44,Sea food based,NV,400
1067,Grilled vegetables,Grill,74,2.7,11.1,2.7,4,Vegetarian based,V,150
1068,Grilled shrimp,Grill,100,0.6,0.0,24.0,340,Sea food based,NV,500
1069,Grilled paneer tikka,Grill,207,16.3,7.3,8.4,260,Milk based,V,200
1070,Grilled lamb chops,Grill,286,21.9,0.0,23.5,85,Meat based,NV,600
1071,Grilled corn on the cob,Grill,86,1.2,18.5,3.3,8,Vegetarian based,V,50
1072,Grilled beef burger,Grill,250,15.0,0.0,25.0,450,Meat based,NV,350
1073,Grilled tofu skewers,Grill,143,5.6,5.8,17.6,5,Vegetarian based,V,250
1074,Adana Kebab,Izgara,308,22.4,2.2,24.7,780,Meat based,NV,350
1075,Iskender Kebab,Izgara,289,20.1,11.7,16.5,690,Meat based,NV,300
1076,Lahmacun,Izgara,290,12.3,31.3,11.2,480,Wheat based,NV,70
1077,Pide,Izgara,256,8.6,36.6,10.6,620,Wheat based,V,80
1078,Acili Ezme,Izgara,55,2.8,5.5,1.5,490,Salad based,V,100
1079,Hummus,Izgara,166,8.8,13.1,7.9,390,Salad based,V,150
1080,Patlican Salatasi,Izgara,133,10.3,7.3,2.2,470,Salad based,V,120
1081,Baklava,Izgara,317,18.3,35.2,4.7,160,Wheat based,V,200
1082,Künefe,Izgara,320,22.7,21.5,6.7,470,Wheat based,V,250
1083,Turkish Tea,Izgara,1,0,0,0,4,Beverage,V,10
1084,Hamburger,Diner,250,10,30,13,450,Junk food,NV,100
1085,Cheeseburger,Diner,303,16,28,13,633,Junk food,NV,120
1086,Hotdog,Diner,297,16.3,25.3,12.3,1000,Junk food,NV,80
1087,Onion rings,Diner,280,16,32,3.3,640,Junk food,V,90
1088,French fries,Diner,312,15,41,4,345,Junk food,V,60
1089,Grilled chicken sandwich,Diner,295,7,29,26,584,Meat based,NV,150
1090,Buffalo chicken wrap,Diner,220,6,25,18,890,Meat based,NV,200
1091,Fried chicken,Diner,290,18,20,12,900,Meat based,NV,180
1092,Chicken and waffles,Diner,300,12,35,15,690,Meat based,NV,250
1093,Chocolate shake,Diner,230,11,33,4,230,Milk based,V,100
1094,Caesar Salad,Restaurant Cafe,94,9.7,1.8,1.7,264,Salad based,V,250
1095,Chicken Burger,Restaurant Cafe,330,17,27,16,638,Junk food,NV,200
1096,Veggie Wrap,Restaurant Cafe,188,9.2,21,6.2,378,Wheat based,V,180
1097,Grilled Chicken Sandwich,Restaurant Cafe,232,9.4,23,14,450,Meat based,NV,220
